Unique ID,Revised Name,Unique ID,Code,Category,Pieces,Quantity,Unit,Supplier,Remarks
50,CAPACITOR VIRAT STARTING - 200/250 MFD,,,CAPACITOR VIRAT,25,,BOX,VIRAT BANGLORE OFFICE,
51,CAPACITOR VIRAT 25 MFD,,,CAPACITOR VIRAT,25,,BOX,VIRAT BANGLORE OFFICE,
52,CAPACITOR VIRAT 36 MFD,,,CAPACITOR VIRAT,25,,BOX,VIRAT BANGLORE OFFICE,
53,CAPACITOR VIRAT 50 MFD,,,CAPACITOR VIRAT,25,,BOX,VIRAT BANGLORE OFFICE,
54,CAPACITOR VIRAT 72 MFD,,,CAPACITOR VIRAT,25,,BOX,M ROSHAN,
55,COIL 180/240V - NVC (220) MK1 (DOL STARTER),,,COIL,10,,BOX,VIRAT BANGLORE OFFICE,
56,COIL 280/440V - NVC (440) MK2 (DOL STARTER),,,COIL,10,,BOX,VIRAT BANGLORE OFFICE,
57,COIL BCH 190V,,,COIL,10,,BOX,VIRAT BANGLORE OFFICE,
58,COIL BCH 220/240V,,,COIL,30,,BOX,VIRAT BANGLORE OFFICE,
59,COIL BCH 380/415V,,,COIL,30,,BOX,SEICO,
60,COIL CT COIL,,,COIL,10,,SET,SEICO,
61,COIL MU BLACK COIL - 415V,,,COIL,1,,BOX,SEICO,
62,COIL MU WHITE COIL - 230V,,,COIL,1,,BOX,SEICO,
63,CONNECTORS 6 WAY GAP B (60 AMP),,,CONNECTOR - BAKALITE / CERAMIC / AUXILIARY,50,,BOX,LAXMI ENTEPRISES,
64,CONNECTORS 6 WAY WITHOUT GAP B (60 AMP),,,CONNECTOR - BAKALITE / CERAMIC / AUXILIARY,50,,BOX,LAXMI ENTEPRISES,
65,CONNECTORS 3 WAY B (200 AMP),,,CONNECTOR - BAKALITE / CERAMIC / AUXILIARY,1,,BOX,SEICO,
66,CONNECTORS 3 WAY B (30 AMP),,,CONNECTOR - BAKALITE / CERAMIC / AUXILIARY,1,,BOX,SEICO,
67,CONNECTORS 3 WAY B (60 AMP),,,CONNECTOR - BAKALITE / CERAMIC / AUXILIARY,50,,BOX,LAXMI ENTEPRISES,
68,CONNECTORS 3 WAY C (30 AMP),,,CONNECTOR - BAKALITE / CERAMIC / AUXILIARY,50,,BOX,LAXMI ENTEPRISES,
69,CONNECTORS 5 WAY B (60 AMP),,,CONNECTOR - BAKALITE / CERAMIC / AUXILIARY,50,,BOX,LAXMI ENTEPRISES,
70,CONNECTORS 5 WAY C (30 AMP),,,CONNECTOR - BAKALITE / CERAMIC / AUXILIARY,30,,BOX,LAXMI ENTEPRISES,
71,CONTACTOR MK1,,,CONTACTOR,10,,BOX,,
72,CONTACTOR 2 POLE (220/240),,,CONTACTOR,1,,BOX,SANMAN CAPACITOR,
73,CONTACTOR 2 POLE (380/415),,,CONTACTOR,1,,BOX,SANMAN CAPACITOR,
74,CONTACTOR 4 POLE (220/240),,,CONTACTOR,1,,BOX,SANMAN CAPACITOR,
75,CONTACTOR 4 POLE (380/415),,,CONTACTOR,1,,BOX,SANMAN CAPACITOR,
76,CONTACTOR DSP CON.,,,CONTACTOR,12,,BOX,SANMAN CAPACITOR,
77,CONTACTOR MU BACKELITE (440),,,CONTACTOR,1,,BOX,SANMAN CAPACITOR,
78,CONTACTOR MU DMC (180/440),,,CONTACTOR,6,,BOX,JACCY,
79,CONTACTOR TC,,,CONTACTOR,10,,BOX,LAXMI ENTEPRISES,
80,CONVERTOR (RED RELAY) 30 AMP (1CO),,,CONVERTOR (RED RELAY),10,,BOX,MAULI KRUPA,
81,CONVERTOR (RED RELAY) 40 AMP (1CO KDN),,,CONVERTOR (RED RELAY),10,,BOX,MAULI KRUPA,
82,CONVERTOR (RED RELAY) 40 AMP (1CO),,,CONVERTOR (RED RELAY),10,,BOX,MAULI KRUPA,
83,CONVERTOR (RED RELAY) 40 AMP (2 NO),,,CONVERTOR (RED RELAY),10,,BOX,MAULI KRUPA,
84,CONVERTOR (RED RELAY) 60 AMP (2 NO),,,CONVERTOR (RED RELAY),10,,BOX,MAULI KRUPA,
85,CONVERTOR (RED RELAY) 60 AMP (3 NO),,,CONVERTOR (RED RELAY),10,,BOX,MAULI KRUPA,
86,COTTER PIN / HINGES HINGES,,,COTTER PIN / HINGES,1,,PCS,LAXMI ENTERPRISES,
87,COTTER PIN / HINGES EBS,,,COTTER PIN / HINGES,1,,PCS,LAXMI ENTEPRISES,
88,COTTER PIN / HINGES OPENWELL,,,COTTER PIN / HINGES,1,,PCS,LAXMI ENTERPRISES,
89,ELECTRONIC COMPONENTS BD139,,,ELECTRONIC COMPONENTS,1,,PCS,ALFA ELECTRICAL,
90,ELECTRONIC COMPONENTS HC 4094 MIC,,,ELECTRONIC COMPONENTS,1,,PCS,ALFA ELECTRICAL,
91,ELECTRONIC COMPONENTS M7,,,ELECTRONIC COMPONENTS,1,,PCS,ALFA ELECTRICAL,
92,ELECTRONIC COMPONENTS SUGAR RELAY 12V,.,,ELECTRONIC COMPONENTS,100,,PCS,ALFA ELECTRICAL,
93,ELECTRONIC COMPONENTS T RELAY,,,ELECTRONIC COMPONENTS,1,,PCS,SANJAY METAL,
94,FEVIKWICK / FEVIBOND,,,FEVIKWICK / FEVIBOND,-1,,,,
95,FINISH GOODS DOL STARTER 8MM 3PH PANEL -20/32 (EV-902),.,(EV-902),FINISH GOODS,1,,PCS,VIRAT BANGLORE OFFICE,
96,FINISH GOODS DOL STARTER 8MM 3PH PANEL (EV-901),.,(EV-901),FINISH GOODS,1,,PCS,VIRAT BANGLORE OFFICE,
97,FINISH GOODS STARDELTA DMC (EV-908),,(EV-908),FINISH GOODS,1,,PCS,TECH ARCHIVER,
98,FINISH GOODS STARDELTA MU2 (EV-909),,(EV-909),FINISH GOODS,1,,PCS,TECH ARCHIVER,
99,FINISH GOODS 2/3PH TOUCH PANEL (3 NO) 7.5HP (EV-236),.,(EV-236),FINISH GOODS,1,,PCS,VIRAT BANGLORE OFFICE,
100,FINISH GOODS 2/3PH TOUCH PANEL (4POLE) 7.5HP (EV-234),.,(EV-234),FINISH GOODS,1,,PCS,VIRAT BANGLORE OFFICE,
101,FINISH GOODS 2/3PH TOUCH PANEL (MU) 7.5HP (EV-235),.,(EV-235),FINISH GOODS,1,,PCS,VIRAT BANGLORE OFFICE,
102,FINISH GOODS ABS BODY PANEL 1PH - 1/1.5/2/3HP (EV-502),.,(EV-502),FINISH GOODS,1,,PCS,SANJAY METAL(HI TECH),
103,FINISH GOODS ALL IN ONE 15HP (EV-238),,(EV-238),FINISH GOODS,1,,PCS,VIRAT BANGLORE OFFICE,
104,FINISH GOODS CRC DIGITAL PANEL 1PH - 1/1.5/2/3/5HP (EV-503),.,(EV-503),FINISH GOODS,1,,PCS,SANJAY METAL,
105,FINISH GOODS DMC STATER 10MM 3PH PANEL (EV-903),.,(EV-903),FINISH GOODS,1,,PCS,VIRAT BANGLORE OFFICE,
106,FINISH GOODS DMC STATER 10MM 3PH PANEL 20/32 (EV-904),.,(EV-904),FINISH GOODS,1,,PCS,VIRAT BANGLORE OFFICE,
107,FINISH GOODS DOL AUTO (3PH-P) - VIRAT (EV-802 A),.,(EV-802 A),FINISH GOODS,1,,PCS,SANJAY METAL,
108,FINISH GOODS DOL MU2 STATER 3PH PANEL (EV-905),.,(EV-905),FINISH GOODS,1,,PCS,VIRAT BANGLORE OFFICE,
109,FINISH GOODS DOL MU2 STATER 3PH PANEL 20/32 (EV-906),.,(EV-906),FINISH GOODS,1,,PCS,VIRAT BANGLORE OFFICE,
110,FINISH GOODS FA 1+1 STANDBY MONOBLOCK + WLC (EV-511),.,(EV-511),FINISH GOODS,1,,PCS,SANJAY METAL(HI TECH),
111,FINISH GOODS FA 1+1 STANDBY SUBMERSIBLE OPENWELL + WLC (EV-512),.,(EV-512),FINISH GOODS,1,,PCS,SANJAY METAL(HI TECH),
112,FINISH GOODS FA 2/3 CONTROL PANEL 5/7.5HP (EV-239),.,(EV-239),FINISH GOODS,1,,PCS,VIRAT BANGLORE OFFICE,
113,FINISH GOODS FA 2/3/5HP (EV-510),,(EV-510),FINISH GOODS,1,,PCS,SANJAY METAL(HI TECH),
114,FINISH GOODS HEAVY METAL PANEL 2/3/5HP (EV-506),.,(EV-506),FINISH GOODS,1,,PCS,SANJAY METAL(HI TECH),
115,FINISH GOODS HEAVY METAL PANEL 2PH 5/6HP (EV-601),.,(EV-601),FINISH GOODS,1,,PCS,VIRAT BANGLORE OFFICE,
116,FINISH GOODS LED CONVERTEOR 2/3 LED 7.5HP (233-2L) / (233 - 3L),.,(233-2L) / (233 - 3L),FINISH GOODS,1,,PCS,VIRAT BANGLORE OFFICE,
117,FINISH GOODS MOBILE AUTO 3G (EV-814),,(EV-814),FINISH GOODS,1,,PCS,SANJAY METAL,
118,FINISH GOODS MOBILE AUTO 4G/5G (EV-815),,(EV-815),FINISH GOODS,1,,PCS,SANJAY METAL,
119,FINISH GOODS OPENWELL PANEL 1PH - 0.5 / 1HP (EV-501),.,(EV-501),FINISH GOODS,1,,PCS,SANJAY METAL(HI TECH),
120,FINISH GOODS OPENWELL WLC 1.5/2HP (EV-508A),.,(EV-508A),FINISH GOODS,1,,PCS,SANJAY METAL(HI TECH),
121,FINISH GOODS SEMI AUTO - VIRAT (EV-806),,(EV-806),FINISH GOODS,1,,PCS,SANJAY METAL,
122,FINISH GOODS SHETKARI DISPLAY 2/3PH 2/15HP (EV-231),.,(EV-231),FINISH GOODS,1,,PCS,VIRAT BANGLORE OFFICE,
123,FINISH GOODS SHETKRI STARTER (4POLE) / (MU) 2/3PH 7.5HP (EV-232),.,(EV-232),FINISH GOODS,1,,PCS,VIRAT BANGLORE OFFICE,
124,FINISH GOODS V.2.O PANEL 2/3/5HP (EV-505),,(EV-505),FINISH GOODS,1,,PCS,SANJAY METAL(HI TECH),
125,FINISH GOODS V.2.O PANEL 2PH (EV-602),,(EV-601),FINISH GOODS,1,,PCS,VIRAT BANGLORE OFFICE,
126,FINISH GOODS V3 -TP (EV-907),,(EV-907),FINISH GOODS,1,,PCS,VIRAT BANGLORE OFFICE,
127,FINISH GOODS V3 1+1 STANBY SUBMERSIBLE / MONOBLOCK + WLC (EV-911),.,(EV-911),FINISH GOODS,1,,PCS,VIRAT BANGLORE OFFICE,
128,FINISH GOODS V3 2PH JUICE (EV-606),,(EV-606),FINISH GOODS,1,,PCS,VIRAT BANGLORE OFFICE,
129,FINISH GOODS V3 2PH LINK (EV-605),,(EV-605),FINISH GOODS,1,,PCS,VIRAT BANGLORE OFFICE,
130,FINISH GOODS V3 2PH PANEL (EV-604),,(EV-604),FINISH GOODS,1,,PCS,VIRAT BANGLORE OFFICE,
131,FINISH GOODS V3 DSP PANEL 1/1.5/2/3/5HP (EV-507),.,(EV-507),FINISH GOODS,1,,PCS,SANJAY METAL,
132,FINISH GOODS V3 FA 2PH 5/7.5HP (EV-603),,(EV-603),FINISH GOODS,1,,PCS,VIRAT BANGLORE OFFICE,
133,FINISH GOODS V3 FA PANEL 1/1.5/2/3/5HP (EV-509),.,(EV-509),FINISH GOODS,1,,PCS,SANJAY METAL(HI TECH),
134,FINISH GOODS V3 JUICE 2/10HP (EV-237),,(EV-237),FINISH GOODS,1,,PCS,VIRAT BANGLORE OFFICE,
135,FINISH GOODS V4 2PH 280 (EV-607),,(EV-607),FINISH GOODS,1,,PCS,VIRAT BANGLORE OFFICE,
136,FINISH GOODS 1 PH AUTO - VIRAT (EV-804),,(EV-804),FINISH GOODS,1,,PCS,SANJAY METAL,
137,FINISH GOODS 2 PH AUTO - VIRAT (EV-805),,(EV-805),FINISH GOODS,1,,PCS,SANJAY METAL,
138,FINISH GOODS AUROMATIC STARDELTA (EV-910),.,(EV-910),FINISH GOODS,1,,PCS,TECH ARCHIVER,
139,FINISH GOODS DOL AUTO (3PH-M) - VIRAT (EV-803),.,(EV-803),FINISH GOODS,1,,PCS,SANJAY METAL,
140,FINISH GOODS DRYRUN AUTO 1PH (S+S) FA AUTO (EV-807B),.,(EV-807B),FINISH GOODS,1,,PCS,SANJAY METAL,
141,FINISH GOODS DRYRUN AUTO 1PH (S+T) (EV-807A),.,(EV-807A),FINISH GOODS,1,,PCS,SANJAY METAL(HI TECH),
142,FINISH GOODS DRYRUN AUTO 1PH SELF PRIMING (EV-807C),.,(EV-807C),FINISH GOODS,1,,PCS,SANJAY METAL,
143,FINISH GOODS DRYRUN AUTO 2/3PH (EV-810),,(EV-810),FINISH GOODS,1,,PCS,SANJAY METAL,
144,FINISH GOODS DRYRUN AUTO 2PH (2P+4P+MU) (EV-808A),.,(EV-808A),FINISH GOODS,1,,PCS,SANJAY METAL,
145,FINISH GOODS DRYRUN AUTO 2PH (RELAY) (EV-808B),.,(EV-808B),FINISH GOODS,1,,PCS,SANJAY METAL,
146,FINISH GOODS DRYRUN AUTO 2PH JUICE (EV-813),.,(EV-813),FINISH GOODS,1,,PCS,SANJAY METAL,
147,FINISH GOODS DRYRUN AUTO 3PH (EV-809),,(EV-809),FINISH GOODS,1,,PCS,SANJAY METAL(HI TECH),
148,FINISH GOODS DRYRUN AUTO 3PH JUICE (EV-811),.,(EV-811),FINISH GOODS,1,,PCS,SANJAY METAL,
149,FINISH GOODS MCB DIGITAL PANEL 2/3/5HP (EV-504),.,(EV-504),FINISH GOODS,1,,PCS,SANJAY METAL(HI TECH),
150,FINISH GOODS MINI - VIRAT (EV-801),,(EV-801),FINISH GOODS,1,,PCS,SANJAY METAL,
151,FINISH GOODS SERIES AUTO (EV-812),,(EV-812),FINISH GOODS,1,,PCS,SANJAY METAL,
152,FUSE 100 A without lug,,,FUSE VIRAT,12,,BOX,VIRAT BANGLORE OFFICE,
153,FUSE 200 A MSEB,,,FUSE VIRAT,6,,BOX,VIRAT BANGLORE OFFICE,
154,FUSE 32A,,,FUSE VIRAT,54,,BOX,VIRAT BANGLORE OFFICE,
155,FUSE 63 AMP (MELBOURNE),,,FUSE VIRAT,36,,BOX,VIRAT BANGLORE OFFICE,
156,FUSE 63A Md,,,FUSE VIRAT,36,,BOX,VIRAT BANGLORE OFFICE,
157,FUSE 63A xl,,,FUSE VIRAT,30,,BOX,VIRAT BANGLORE OFFICE,
158,INDICATOR RED 220 V,,,INDICATOR,10,,PCS,VIRAT BANGLORE OFFICE,
159,INDICATOR GREEN 440 V,,,INDICATOR,10,,PCS,VIRAT BANGLORE OFFICE,
160,INDICATOR RED 440 V,,,INDICATOR,10,,PCS,VIRAT BANGLORE OFFICE,
161,INDICATOR PILOT LIGHT 220V,,,INDICATOR,10,,PCS,,
162,INDICATOR DIGITAL PANEL LIGHT GREEN 440V (V+CM),,.,INDICATOR,10,,PCS,,
163,INDICATOR DIGITAL PANEL LIGHT RED 440V (V+CM),,,INDICATOR,10,,PCS,,
164,KNOB \ CLAMP \ AUXILIRY - AUXILIARY (MU-A1),,,KNOB \ CLAMP \ AUXILIRY,1,,PCS,VIRAT BANGLORE OFFICE,
165,KNOB \ CLAMP \ AUXILIRY - CLAMP,,,KNOB \ CLAMP \ AUXILIRY,1,,PCS,VIRAT BANGLORE OFFICE,
166,KNOB \ CLAMP \ AUXILIRY - GROMET (7/8),,,KNOB \ CLAMP \ AUXILIRY,1,,PCS,MAULI KRUPA,
167,KNOB \ CLAMP \ AUXILIRY - KNOB 1 (ABS),,,KNOB \ CLAMP \ AUXILIRY,1,,PCS,MAULI KRUPA,
168,KNOB \ CLAMP \ AUXILIRY - KNOB 2 (OPENWELL),,,KNOB \ CLAMP \ AUXILIRY,1,,PCS,MAULI KRUPA,
169,KNOB \ CLAMP \ AUXILIRY - KNOB 3 (CRC),,,KNOB \ CLAMP \ AUXILIRY,1,,PCS,MAULI KRUPA,
170,KNOB \ CLAMP \ AUXILIRY - KNOB 4,.,,KNOB \ CLAMP \ AUXILIRY,1,,PCS,MAULI KRUPA,
171,KNOB \ CLAMP \ AUXILIRY - STILGRIP TAPE,,,KNOB \ CLAMP \ AUXILIRY,1,,PCS,MAULIKRUPA,
172,LUGS 2.5,,,LUGS,300,,PKT,MAULIKRUPA,
173,LUGS 4.6,,,LUGS,300,,PKT,MAULIKRUPA,
174,MCB 10 AMP,,,MCB,12,,BOX,MAULI KRUPA,
175,MCB 16 AMP,,,MCB,12,,BOX,MAULIKRUPA,
176,MCB 20 AMP,,,MCB,12,,BOX,MAULIKRUPA,
177,MCB 25 AMP,,,MCB,12,,BOX,MAULIKRUPA,
178,MCB 32 AMP,,,MCB,12,,BOX,MAULIKRUPA,
179,METAL BODY - FA,,,METAL BODY,1,,PCS,VIRAT BANGLORE OFFICE,
180,METAL BODY - FOGAR,,,METAL BODY,1,,PCS,VIRAT BANGLORE OFFICE,
181,METAL BODY - JUICE,,,METAL BODY,1,,PCS,VIRAT BANGLORE OFFICE,
